U.S. Imports of Crude Oil and Petroleum Products Weekly,
5/20/2005,13633
5/27/2005,13687
6/3/2005,12969
6/10/2005,13709
6/17/2005,13134
6/24/2005,13834
7/1/2005,13814
7/8/2005,12993
7/15/2005,13927
7/22/2005,12918
7/29/2005,14183
8/5/2005,14485
8/12/2005,13333
8/19/2005,14040
8/26/2005,14124
9/2/2005,12435
9/9/2005,12601
9/16/2005,13704
9/23/2005,13294
9/30/2005,12665
10/7/2005,13033
10/14/2005,14175
10/21/2005,14263
10/28/2005,14087
11/4/2005,15217
11/11/2005,13768
11/18/2005,13798
11/25/2005,13465
12/2/2005,13884
12/9/2005,14648
12/16/2005,13544
12/23/2005,13663
12/30/2005,13166
1/6/2006,13754
1/13/2006,14078
1/20/2006,13061
1/27/2006,12914
2/3/2006,13364
2/10/2006,14340
2/17/2006,13799
2/24/2006,13268
3/3/2006,13121
3/10/2006,13261
3/17/2006,12632
3/24/2006,13129
3/31/2006,12736
4/7/2006,12727
4/14/2006,12501
4/21/2006,13806
4/28/2006,12737
5/5/2006,14246
5/12/2006,13869
5/19/2006,13748
5/26/2006,15119
6/2/2006,14470
6/9/2006,14323
6/16/2006,14724
6/23/2006,13648
6/30/2006,13827
7/7/2006,13268
7/14/2006,14139
7/21/2006,13932
7/28/2006,15012
8/4/2006,13596
8/11/2006,13851
8/18/2006,14574
8/25/2006,14831
9/1/2006,13698
9/8/2006,14086
9/15/2006,13923
9/22/2006,14781
9/29/2006,13216
10/6/2006,13384
10/13/2006,13277
10/20/2006,12721
10/27/2006,13282
11/3/2006,12697
11/10/2006,12406
11/17/2006,13684
11/24/2006,12755
12/1/2006,13215
12/8/2006,12915
12/15/2006,11764
12/22/2006,12106
12/29/2006,13125
1/5/2007,13041
1/12/2007,14324
1/19/2007,13232
1/26/2007,13573
2/2/2007,12780
2/9/2007,12838
2/16/2007,13082
2/23/2007,12951
3/2/2007,11610
3/9/2007,13481
3/16/2007,13787
3/23/2007,13440
3/30/2007,13701
4/6/2007,13225
4/13/2007,13451
4/20/2007,13713
4/27/2007,13782
5/4/2007,14581
5/11/2007,14591
5/18/2007,14474
5/25/2007,14028
6/1/2007,14220
6/8/2007,13805
6/15/2007,14625
6/22/2007,13901
6/29/2007,14539
7/6/2007,14019
7/13/2007,13881
7/20/2007,14291
7/27/2007,13545
8/3/2007,13643
8/10/2007,13121
8/17/2007,13998
8/24/2007,13621
8/31/2007,13304
9/7/2007,12754
9/14/2007,12949
9/21/2007,13763
9/28/2007,13518
10/5/2007,13563
10/12/2007,14244
10/19/2007,12298
10/26/2007,13108
11/2/2007,13323
11/9/2007,13647
11/16/2007,13345
11/23/2007,13421
11/30/2007,13173
12/7/2007,13501
12/14/2007,12618
12/21/2007,12907
12/28/2007,13301
1/4/2008,12904
1/11/2008,13538
1/18/2008,13754
1/25/2008,13389
2/1/2008,14730
2/8/2008,13100
2/15/2008,13672
2/22/2008,13502
2/29/2008,12579
3/7/2008,13864
3/14/2008,12582
3/21/2008,12134
3/28/2008,13473
4/4/2008,12148
4/11/2008,12029
4/18/2008,13661
4/25/2008,13989
5/2/2008,14024
5/9/2008,13393
5/16/2008,12744
5/23/2008,11875
5/30/2008,13061
6/6/2008,13103
6/13/2008,13334
6/20/2008,13547
6/27/2008,13747
7/4/2008,12538
7/11/2008,13943
7/18/2008,12897
7/25/2008,13215
8/1/2008,13333
8/8/2008,12257
8/15/2008,13917
8/22/2008,13117
8/29/2008,12634
9/5/2008,11389
9/12/2008,11370
9/19/2008,10507
9/26/2008,12666
10/3/2008,14191
10/10/2008,13671
10/17/2008,13788
10/24/2008,13320
10/31/2008,13197
11/7/2008,12086
11/14/2008,12532
11/21/2008,14007
11/28/2008,12617
12/5/2008,12773
12/12/2008,12611
12/19/2008,12780
12/26/2008,12388
1/2/2009,13698
1/9/2009,12729
1/16/2009,13585
1/23/2009,13294
1/30/2009,13122
2/6/2009,12839
2/13/2009,11497
2/20/2009,11577
2/27/2009,12523
3/6/2009,12388
3/13/2009,12164
3/20/2009,12595
3/27/2009,12717
4/3/2009,12323
4/10/2009,12261
4/17/2009,12795
4/24/2009,12444
5/1/2009,12446
5/8/2009,11164
5/15/2009,11550
5/22/2009,11945
5/29/2009,12577
6/5/2009,11522
6/12/2009,11870
6/19/2009,11668
6/26/2009,11883
7/3/2009,12092
7/10/2009,12098
7/17/2009,12077
7/24/2009,12417
7/31/2009,11630
8/7/2009,11801
8/14/2009,10329
8/21/2009,11819
8/28/2009,11794
9/4/2009,11654
9/11/2009,11251
9/18/2009,12386
9/25/2009,12227
10/2/2009,12000
10/9/2009,11265
10/16/2009,11091
10/23/2009,11433
10/30/2009,10727
11/6/2009,11170
11/13/2009,11027
11/20/2009,11720
11/27/2009,11556
12/4/2009,10647
12/11/2009,10405
12/18/2009,10129
12/25/2009,10414
1/1/2010,10952
1/8/2010,11621
1/15/2010,11155
1/22/2010,10739
1/29/2010,11373
2/5/2010,11736
2/12/2010,10900
2/19/2010,11829
2/26/2010,11952
3/5/2010,11064
3/12/2010,10591
3/19/2010,11463
3/26/2010,11630
4/2/2010,12323
4/9/2010,11057
4/16/2010,12492
4/23/2010,12504
4/30/2010,13054
5/7/2010,11845
5/14/2010,12093
5/21/2010,12750
5/28/2010,12029
6/4/2010,11550
6/11/2010,11806
6/18/2010,12436
6/25/2010,12095
7/2/2010,12440
7/9/2010,11627
7/16/2010,12412
7/23/2010,13588
7/30/2010,12502
8/6/2010,12213
8/13/2010,12473
8/20/2010,12877
8/27/2010,12424
9/3/2010,11683
9/10/2010,11268
9/17/2010,11817
9/24/2010,11594
10/1/2010,11261
10/8/2010,10447
10/15/2010,11054
10/22/2010,12171
10/29/2010,10942
11/5/2010,10457
11/12/2010,10186
11/19/2010,11508
11/26/2010,10587
12/3/2010,11690
12/10/2010,10045
12/17/2010,11695
12/24/2010,11478
12/31/2010,10186
1/7/2011,11564
1/14/2011,11725
1/21/2011,11939
1/28/2011,11916
2/4/2011,11857
2/11/2011,10796
2/18/2011,10341
2/25/2011,10226
3/4/2011,10722
3/11/2011,10710
3/18/2011,11566
3/25/2011,11518
4/1/2011,11578
4/8/2011,11007
4/15/2011,10657
4/22/2011,12353
4/29/2011,11785
5/6/2011,11583
5/13/2011,10830
5/20/2011,12246
5/27/2011,12478
6/3/2011,11367
6/10/2011,11040
6/17/2011,11611
6/24/2011,11114
7/1/2011,11977
7/8/2011,11401
7/15/2011,11520
7/22/2011,12098
7/29/2011,11390
8/5/2011,11127
8/12/2011,11245
8/19/2011,11169
8/26/2011,11521
9/2/2011,10404
9/9/2011,10473
9/16/2011,10455
9/23/2011,11622
9/30/2011,10816
10/7/2011,11042
10/14/2011,9334
10/21/2011,11377
10/28/2011,11246
11/4/2011,10637
11/11/2011,10404
11/18/2011,10830
11/25/2011,11369
12/2/2011,12089
12/9/2011,11105
12/16/2011,9683
12/23/2011,11240
12/30/2011,10898
1/6/2012,11710
1/13/2012,10136
1/20/2012,11054
1/27/2012,11308
2/3/2012,10501
2/10/2012,10610
2/17/2012,11187
2/24/2012,10879
3/2/2012,10504
3/9/2012,10487
3/16/2012,10053
3/23/2012,11039
3/30/2012,11812
4/6/2012,10350
4/13/2012,10392
4/20/2012,10625
4/27/2012,10631
5/4/2012,10610
5/11/2012,11177
5/18/2012,10514
5/25/2012,10890
6/1/2012,10917
6/8/2012,11329
6/15/2012,11865
6/22/2012,11196
6/29/2012,11068
7/6/2012,10787
7/13/2012,10658
7/20/2012,12213
7/27/2012,10129
8/3/2012,10563
8/10/2012,11129
8/17/2012,10099
8/24/2012,11605
8/31/2012,10351
9/7/2012,10794
9/14/2012,12017
9/21/2012,9642
9/28/2012,10097
10/5/2012,9753
10/12/2012,10544
10/19/2012,11166
10/26/2012,9932
11/2/2012,9772
11/9/2012,10027
11/16/2012,9885
11/23/2012,9993
11/30/2012,10506
12/7/2012,10772
12/14/2012,10819
12/21/2012,10273
12/28/2012,9037
1/4/2013,10436
1/11/2013,9808
1/18/2013,9891
1/25/2013,10203
2/1/2013,9330
2/8/2013,9579
2/15/2013,9616
2/22/2013,9738
3/1/2013,9335
3/8/2013,9735
3/15/2013,8878
3/22/2013,9723
3/29/2013,9783
4/5/2013,9832
4/12/2013,9699
4/19/2013,9621
4/26/2013,10529
5/3/2013,10213
5/10/2013,9559
5/17/2013,10403
5/24/2013,10090
5/31/2013,9311
6/7/2013,9977
6/14/2013,10208
6/21/2013,10952
6/28/2013,9150
7/5/2013,9060
7/12/2013,9903
7/19/2013,10011
7/26/2013,10208
8/2/2013,10149
8/9/2013,9691
8/16/2013,9688
8/23/2013,10405
8/30/2013,10206
9/6/2013,9523
9/13/2013,9465
9/20/2013,10076
9/27/2013,10150
10/4/2013,10037
10/11/2013,10122
10/18/2013,9389
10/25/2013,9595
11/1/2013,9301
11/8/2013,9803
11/15/2013,9442
11/22/2013,9496
11/29/2013,9786
12/6/2013,8413
12/13/2013,9739
12/20/2013,9145
12/27/2013,8818
1/3/2014,9383
1/10/2014,8267
1/17/2014,9203
1/24/2014,9914
1/31/2014,8849
2/7/2014,9700
2/14/2014,9077
2/21/2014,8638
2/28/2014,9014
3/7/2014,9155
3/14/2014,9124
3/21/2014,9504
3/28/2014,8501
4/4/2014,9119
4/11/2014,10289
4/18/2014,9667
4/25/2014,9328
5/2/2014,8857
5/9/2014,9292
5/16/2014,8709
5/23/2014,9826
5/30/2014,9458
6/6/2014,8828
6/13/2014,9272
6/20/2014,8953
6/27/2014,8800
7/4/2014,9088
7/11/2014,9102
7/18/2014,9195
7/25/2014,9419
8/1/2014,8862
8/8/2014,9763
8/15/2014,9737
8/22/2014,8881
8/29/2014,9651
9/5/2014,9259
9/12/2014,9614
9/19/2014,8504
9/26/2014,8550
10/3/2014,9197
10/10/2014,9113
10/17/2014,8747
10/24/2014,8768
10/31/2014,8607
11/7/2014,8649
11/14/2014,9203
11/21/2014,8976
11/28/2014,9060
12/5/2014,9218
12/12/2014,9445
12/19/2014,10718
12/26/2014,9144
1/2/2015,9520
1/9/2015,9396
1/16/2015,9367
1/23/2015,9841
1/30/2015,9463
2/6/2015,9198
2/13/2015,9047
2/20/2015,9563
2/27/2015,9395
3/6/2015,8344
3/13/2015,9730
3/20/2015,9216
3/27/2015,9178
4/3/2015,10306
4/10/2015,9238
4/17/2015,9941
4/24/2015,9976
5/1/2015,8076
5/8/2015,9271
5/15/2015,9427
5/22/2015,8869
5/29/2015,9105
6/5/2015,8527
6/12/2015,9372
6/19/2015,8865
6/26/2015,10067
7/3/2015,9622
7/10/2015,9453
7/17/2015,10200
7/24/2015,9711
7/31/2015,9107
8/7/2015,9917
8/14/2015,10652
8/21/2015,9247
8/28/2015,9973
9/4/2015,9371
9/11/2015,8847
9/18/2015,9123
9/25/2015,9645
10/2/2015,8802
10/9/2015,9410
10/16/2015,9165
10/23/2015,8851
10/30/2015,8155
11/6/2015,9093
11/13/2015,8437
11/20/2015,9025
11/27/2015,9416
12/4/2015,10095
12/11/2015,10429
12/18/2015,8910
12/25/2015,9462
1/1/2016,9103
1/8/2016,9861
1/15/2016,10042
1/22/2016,10008
1/29/2016,10330
2/5/2016,9043
2/12/2016,10231
2/19/2016,9800
2/26/2016,10209
3/4/2016,9989
3/11/2016,9647
3/18/2016,10254
3/25/2016,9470
4/1/2016,9468
4/8/2016,10009
4/15/2016,10026
4/22/2016,10044
4/29/2016,9858
5/6/2016,9697
5/13/2016,9787
5/20/2016,9944
5/27/2016,9898
6/3/2016,10031
6/10/2016,10048
6/17/2016,10721
6/24/2016,10466
7/1/2016,10568
7/8/2016,10114
7/15/2016,10580
7/22/2016,10796
7/29/2016,10918
8/5/2016,10607
8/12/2016,10364
8/19/2016,11169
8/26/2016,11036
9/2/2016,9103
9/9/2016,10262
9/16/2016,10343
9/23/2016,9978
9/30/2016,9968
10/7/2016,9866
10/14/2016,9127
10/21/2016,9068
10/28/2016,10957
11/4/2016,9232
11/11/2016,10907
11/18/2016,9951
11/25/2016,10061
12/2/2016,10515
12/9/2016,9344
12/16/2016,10225
12/23/2016,9876
12/30/2016,9428
1/6/2017,11121
1/13/2017,10655
1/20/2017,10290
1/27/2017,10302
2/3/2017,11916
2/10/2017,10479
2/17/2017,9485
2/24/2017,9911
3/3/2017,10446
3/10/2017,9558
3/17/2017,10284
3/24/2017,10604
3/31/2017,10022
4/7/2017,9333
4/14/2017,9793
4/21/2017,11280
4/28/2017,10297
5/5/2017,10179
5/12/2017,10636
5/19/2017,10494
5/26/2017,10222
6/2/2017,10633
6/9/2017,9816
6/16/2017,10142
6/23/2017,9832
6/30/2017,10033
7/7/2017,9421
7/14/2017,9972
7/21/2017,10128
7/28/2017,10079
8/4/2017,10368
8/11/2017,10266
8/18/2017,10662
8/25/2017,10496
9/1/2017,8913
9/8/2017,8433
9/15/2017,9422
9/22/2017,10342
9/29/2017,9774
10/6/2017,9801
10/13/2017,9716
10/20/2017,9819
10/27/2017,9629
11/3/2017,9550
11/10/2017,9981
11/17/2017,9795
11/24/2017,9100
12/1/2017,9170
12/8/2017,9623
12/15/2017,10315
12/22/2017,10157
12/29/2017,9843
1/5/2018,9592
1/12/2018,9535
1/19/2018,10290
1/26/2018,11245
2/2/2018,10163
2/9/2018,9834
2/16/2018,8937
2/23/2018,9105
3/2/2018,10587
3/9/2018,9582
3/16/2018,8934
3/23/2018,10314
3/30/2018,10604
4/6/2018,10554
4/13/2018,9770
4/20/2018,10520
4/27/2018,10779
5/4/2018,9855
5/11/2018,9773
5/18/2018,11018
5/25/2018,10291
6/1/2018,10207
6/8/2018,10712
6/15/2018,10139
6/22/2018,10400
6/29/2018,11382
7/6/2018,9324
7/13/2018,11121
7/20/2018,10255
7/27/2018,10045
8/3/2018,10225
8/10/2018,11121
8/17/2018,10121
8/24/2018,10158
8/31/2018,10024
9/7/2018,10519
9/14/2018,10353
9/21/2018,10082
9/28/2018,10463
10/5/2018,9805
10/12/2018,9723
10/19/2018,9383
10/26/2018,9043
11/2/2018,9443
11/9/2018,9093
11/16/2018,9386
11/23/2018,10096
11/30/2018,8838
12/7/2018,9136
12/14/2018,9235
12/21/2018,9498
12/28/2018,9008
1/4/2019,9931
1/11/2019,9922
1/18/2019,10312
1/25/2019,8707
2/1/2019,9908
2/8/2019,8172
2/15/2019,9436
2/22/2019,8002
3/1/2019,8911
3/8/2019,8898
3/15/2019,9048
3/22/2019,8761
3/29/2019,8870
4/5/2019,8635
4/12/2019,8706
4/19/2019,10000
4/26/2019,9668
5/3/2019,9227
5/10/2019,9769
5/17/2019,9700
5/24/2019,9424
5/31/2019,10533
6/7/2019,10172
6/14/2019,9571
6/21/2019,8701
6/28/2019,9272
7/5/2019,9988
7/12/2019,9225
7/19/2019,9633
7/26/2019,9333
8/2/2019,9764
8/9/2019,10358
8/16/2019,9441
8/23/2019,8574
8/30/2019,9165
9/6/2019,8541
9/13/2019,8909
9/20/2019,8788
9/27/2019,8274
10/4/2019,8590
10/11/2019,8202
10/18/2019,7998
10/25/2019,9201
11/1/2019,8463
